config,asset_id,ladder,from_hour,fitted_from,rate,step,level_noticeable,level_high,level_major,level_extreme
34246f3ed66a,block:FX,block,1249430400,1055718000,0.7096900861,510,4.875301671,6.868603453,12.41658587,14.67182211
34246f3ed66a,block:FX,block,1251957600,1055718000,0.7096900861,510,4.862443454,6.840844208,12.3413474,14.57541892
34246f3ed66a,block:FX,block,1254484800,1055718000,0.7096900861,510,4.83894816,6.811128638,12.35384679,14.62369892
34246f3ed66a,block:FX,block,1257188400,1055718000,0.7096900861,510,4.825274132,6.78629142,12.30155661,14.5613914
34246f3ed66a,block:FX,block,1259715600,1055718000,0.7096900861,510,4.808424046,6.759360322,12.25962387,14.51749085
34246f3ed66a,block:FX,block,1262242800,1055718000,0.7096900861,510,4.807366559,6.753115585,12.22277913,14.46309811
34246f3ed66a,block:FX,block,1264770000,1055718000,0.7096900861,510,4.79835855,6.745022277,12.24455084,14.50565996
34246f3ed66a,block:FX,block,1267470000,1055718000,0.7096900861,510,4.785951991,6.718732232,12.17649325,14.41963301
34246f3ed66a,block:FX,block,1269993600,1055718000,0.7096900861,510,4.753869068,6.692395974,12.31290516,14.66973419
34246f3ed66a,block:FX,block,1272520800,1055718000,0.7096900861,510,4.746446848,6.681341462,12.28952619,14.64061833
34246f3ed66a,block:FX,block,1275048000,1055718000,0.7096900861,510,4.731747615,6.659521545,12.25514963,14.60354512
34246f3ed66a,block:FX,block,1277748000,1055718000,0.7096900861,510,4.729287632,6.644462366,12.12323714,14.39737665
34246f3ed66a,block:FX,block,1280275200,1055718000,0.7096900861,510,4.710803841,6.621859814,12.13376587,14.43590185
34246f3ed66a,block:FX,block,1282802400,1055718000,0.7096900861,510,4.705672007,6.607452199,12.05689949,14.32170297
34246f3ed66a,block:FX,block,1285329600,1055718000,0.7096900861,510,4.696350888,6.595604085,12.05091181,14.32229134
34246f3ed66a,block:FX,block,1288029600,1055718000,0.7096900861,510,4.683077916,6.570660876,12.00448422,14.27072657
34246f3ed66a,block:FX,block,1290560400,1055718000,0.7096900861,510,4.662744701,6.548450372,12.04310254,14.35585034
34246f3ed66a,block:FX,block,1293087600,1055718000,0.7096900861,510,4.65761764,6.536512791,12.01232249,14.31745829
34246f3ed66a,block:FX,block,1295614800,1055718000,0.7096900861,510,4.652127004,6.527937061,11.99845647,14.30254344
34246f3ed66a,block:FX,block,1298314800,1055718000,0.7096900861,510,4.628641624,6.505407239,12.07110346,14.44505985
34246f3ed66a,block:FX,block,1300838400,1055718000,0.7096900861,510,4.621131063,6.487299337,11.99231044,14.3310272
34246f3ed66a,block:FX,block,1303365600,1055718000,0.7096900861,510,4.612560209,6.469105093,11.95142036,14.28231908
34246f3ed66a,block:FX,block,1305892800,1055718000,0.7096900861,510,4.607884041,6.454207235,11.82903558,14.08973666
34246f3ed66a,block:FX,block,1308592800,1055718000,0.7096900861,510,4.598756634,6.437997995,11.75762347,13.98416012
34246f3ed66a,block:FX,block,1311120000,1055718000,0.7096900861,510,4.600261957,6.431300226,11.67192713,13.84801757
34246f3ed66a,block:FX,block,1313647200,1055718000,0.7096900861,510,4.592501465,6.420205819,11.66939121,13.85475689
34246f3ed66a,block:FX,block,1316174400,1055718000,0.7096900861,510,4.578822,6.39890035,11.65230189,13.84770282
34246f3ed66a,block:FX,block,1318874400,1055718000,0.7096900861,510,4.578315827,6.39404644,11.63839813,13.83112567
34246f3ed66a,block:FX,block,1321405200,1055718000,0.7096900861,510,4.575085182,6.388281771,11.65132066,13.86012974
34246f3ed66a,block:FX,block,1323932400,1055718000,0.7096900861,510,4.578913017,6.408130686,11.78371205,14.06092046
34246f3ed66a,block:FX,block,1326459600,1055718000,0.7096900861,510,4.585612192,6.434865775,11.91860268,14.25748181
34246f3ed66a,block:FX,block,1329159600,1055718000,0.7096900861,510,4.574519923,6.420034892,11.94493704,14.31826828
34246f3ed66a,block:FX,block,1331683200,1055718000,0.7096900861,510,4.569347423,6.405214374,11.87631333,14.21852122
34246f3ed66a,block:FX,block,1334210400,1055718000,0.7096900861,510,4.568315672,6.408594088,11.9141617,14.27800805
34246f3ed66a,block:FX,block,1336737600,1055718000,0.7096900861,510,4.556249173,6.391736427,11.89059899,14.25402907
34246f3ed66a,block:FX,block,1339437600,1055718000,0.7096900861,510,4.549351989,6.379822192,11.88913966,14.26531602
34246f3ed66a,block:FX,block,1341964800,1055718000,0.7096900861,510,4.561150108,6.377905738,11.74994506,14.03627346
34246f3ed66a,block:FX,block,1344492000,1055718000,0.7096900861,510,4.577498737,6.394194259,11.7185357,13.96943264
34246f3ed66a,block:FX,block,1347019200,1055718000,0.7096900861,510,4.576554624,6.385598236,11.6472002,13.85878297
34246f3ed66a,block:FX,block,1349719200,1055718000,0.7096900861,510,4.572910748,6.378467139,11.63110067,13.83928708
34246f3ed66a,block:FX,block,1352250000,1055718000,0.7096900861,510,4.56341146,6.364335589,11.59205656,13.78613999
34246f3ed66a,block:FX,block,1354777200,1055718000,0.7096900861,510,4.559242022,6.351947619,11.49660395,13.63718515
34246f3ed66a,block:FX,block,1357722000,1055718000,0.7096900861,510,4.564988532,6.366562373,11.53346905,13.68229852
34246f3ed66a,block:FX,block,1360249200,1055718000,0.7096900861,510,4.557384366,6.353338115,11.47773953,13.60059638
34246f3ed66a,block:FX,block,1362776400,1055718000,0.7096900861,510,4.551497432,6.341400987,11.43112799,13.53415404
34246f3ed66a,block:FX,block,1365472800,1055718000,0.7096900861,510,4.5377821,6.324092363,11.44131978,13.56762701
34246f3ed66a,block:FX,block,1368000000,1055718000,0.7096900861,510,4.53619264,6.313989499,11.37990217,13.47642814
34246f3ed66a,block:FX,block,1370527200,1055718000,0.7096900861,510,4.552182868,6.338565318,11.41805559,13.51678147
34246f3ed66a,block:FX,block,1373054400,1055718000,0.7096900861,510,4.572193883,6.405584301,11.72568128,13.95794234
34246f3ed66a,block:FX,block,1375754400,1055718000,0.7096900861,510,4.582511703,6.406627206,11.62354877,13.78856972
34246f3ed66a,block:FX,block,1378281600,1055718000,0.7096900861,510,4.575402519,6.393251029,11.5952336,13.75499581
34246f3ed66a,block:FX,block,1380808800,1055718000,0.7096900861,510,4.589980497,6.476911432,12.0624076,14.44149247
34246f3ed66a,block:FX,block,1383336000,1055718000,0.7096900861,510,4.597469135,6.482201394,12.02008391,14.36577765
34246f3ed66a,block:FX,block,1386039600,1055718000,0.7096900861,510,4.594772216,6.473582483,11.97854255,14.30534204
34246f3ed66a,block:FX,block,1388984400,1055718000,0.7096900861,510,4.586155055,6.462123803,11.97878335,14.31693495
34246f3ed66a,block:FX,block,1391511600,1055718000,0.7096900861,510,4.578524696,6.4494411,11.9538031,14.28756117
34246f3ed66a,block:FX,block,1394038800,1055718000,0.7096900861,510,4.567480773,6.434637514,11.95426766,14.30294813
34246f3ed66a,block:FX,block,1396562400,1055718000,0.7096900861,510,4.576161973,6.473645904,12.16164821,14.60747091
34246f3ed66a,block:FX,block,1399262400,1055718000,0.7096900861,510,4.578244628,6.476018925,12.14857471,14.58249987
34246f3ed66a,block:FX,block,1401789600,1055718000,0.7096900861,510,4.565279433,6.460720631,12.15872936,14.61407252
34246f3ed66a,block:FX,block,1404316800,1055718000,0.7096900861,510,4.574921859,6.466083017,12.10569156,14.52123922
34246f3ed66a,block:FX,block,1406844000,1055718000,0.7096900861,510,4.58283805,6.48948253,12.20693415,14.66606222
34246f3ed66a,block:FX,block,1409544000,1055718000,0.7096900861,510,4.582546171,6.481576083,12.14597881,14.57257416
34246f3ed66a,block:FX,block,1412071200,1055718000,0.7096900861,510,4.586313032,6.480320614,12.0931413,14.48591185
34246f3ed66a,block:FX,block,1414598400,1055718000,0.7096900861,510,4.599943429,6.497472698,12.07564057,14.43925603
34246f3ed66a,block:FX,block,1417129200,1055718000,0.7096900861,510,4.608048544,6.533961715,12.2728278,14.72948126
34246f3ed66a,block:FX,block,1419940800,1055718000,0.7096900861,510,4.611642175,6.534749559,12.23732443,14.66948711
34246f3ed66a,block:FX,block,1422648000,1055718000,0.7096900861,510,4.607362108,6.521272141,12.16529293,14.56248198
34246f3ed66a,block:FX,block,1425348000,1055718000,0.7096900861,510,4.6007873,6.507003917,12.11538234,14.49329306
34246f3ed66a,block:FX,block,1427871600,1055718000,0.7096900861,510,4.603336329,6.522109719,12.22917539,14.66883345
34246f3ed66a,block:FX,block,1430398800,1055718000,0.7096900861,510,4.60579437,6.530693311,12.27028282,14.72845197
34246f3ed66a,block:FX,block,1432926000,1055718000,0.7096900861,510,4.611949079,6.531571941,12.21808647,14.64156206
34246f3ed66a,block:FX,block,1435626000,1055718000,0.7096900861,510,4.627507244,6.560400233,12.27546956,14.70766856
34246f3ed66a,block:FX,block,1438153200,1055718000,0.7096900861,510,4.622250487,6.548919599,12.24258142,14.66470698
34246f3ed66a,block:FX,block,1440680400,1055718000,0.7096900861,510,4.642173749,6.577021086,12.24285701,14.63659743
34246f3ed66a,block:FX,block,1443207600,1055718000,0.7096900861,510,4.634341036,6.568022576,12.25713392,14.66925144
34246f3ed66a,block:FX,block,1445907600,1055718000,0.7096900861,510,4.63022169,6.566000134,12.28476992,14.71699612
34246f3ed66a,block:FX,block,1448438400,1055718000,0.7096900861,510,4.639171156,6.626151112,12.65843902,15.27707321
34246f3ed66a,block:FX,block,1450965600,1055718000,0.7096900861,510,4.628272972,6.610902048,12.65670564,15.2899179
34246f3ed66a,block:FX,block,1453860000,1055718000,0.7096900861,510,4.623264701,6.600309621,12.59443151,15.19390003
34246f3ed66a,block:FX,block,1456387200,1055718000,0.7096900861,510,4.610985997,6.586855396,12.61233747,15.23679369
34246f3ed66a,block:FX,block,1458910800,1055718000,0.7096900861,510,4.616772428,6.61091843,12.74187377,15.42856402
34246f3ed66a,block:FX,block,1461610800,1055718000,0.7096900861,510,4.620935105,6.609542006,12.68422905,15.333495
34246f3ed66a,block:FX,block,1464138000,1055718000,0.7096900861,510,4.615587012,6.607624337,12.73114933,15.41427381
34246f3ed66a,block:FX,block,1466665200,1055718000,0.7096900861,510,4.616712352,6.634676445,12.9394766,15.73564325
34246f3ed66a,block:FX,block,1469192400,1055718000,0.7096900861,510,4.617591162,6.642762837,12.97158236,15.77889616
34246f3ed66a,block:FX,block,1471892400,1055718000,0.7096900861,510,4.626187946,6.67270521,13.13729764,16.02778669
34246f3ed66a,block:FX,block,1474419600,1055718000,0.7096900861,510,4.639754643,6.704696444,13.24221184,16.170194
34246f3ed66a,block:FX,block,1476946800,1055718000,0.7096900861,510,4.630905675,6.690585337,13.2284986,16.16232911
34246f3ed66a,block:FX,block,1479477600,1055718000,0.7096900861,510,4.630136709,6.68254643,13.14972887,16.03607585
34246f3ed66a,block:FX,block,1482177600,1055718000,0.7096900861,510,4.637320331,6.707083109,13.2669151,16.2072343
34246f3ed66a,block:FX,block,1484892000,1055718000,0.7096900861,510,4.623526623,6.690400336,13.30016871,16.28261853
34246f3ed66a,block:FX,block,1487592000,1055718000,0.7096900861,510,4.6207021,6.684651648,13.28310219,16.25978968
34246f3ed66a,block:FX,block,1490115600,1055718000,0.7096900861,510,4.625630694,6.726557077,13.57833263,16.71501743
34246f3ed66a,block:FX,block,1492642800,1055718000,0.7096900861,510,4.620884737,6.726377404,13.62847837,16.80017722
34246f3ed66a,block:FX,block,1495170000,1055718000,0.7096900861,510,4.614920385,6.718429543,13.62791229,16.8076966
34246f3ed66a,block:FX,block,1497870000,1055718000,0.7096900861,510,4.619764995,6.729653443,13.65952403,16.84849956
34246f3ed66a,block:FX,block,1500397200,1055718000,0.7096900861,510,4.622408021,6.728915598,13.61858856,16.77926765
34246f3ed66a,block:FX,block,1502924400,1055718000,0.7096900861,510,4.635700039,6.744396185,13.5842055,16.70290316
34246f3ed66a,block:FX,block,1505451600,1055718000,0.7096900861,510,4.635012156,6.743854179,13.58014706,16.69590233
34246f3ed66a,block:FX,block,1508151600,1055718000,0.7096900861,510,4.643743637,6.763698785,13.64461271,16.78359272
34246f3ed66a,block:FX,block,1510682400,1055718000,0.7096900861,510,4.636952057,6.753788518,13.63531965,16.77819277
34246f3ed66a,block:FX,block,1513209600,1055718000,0.7096900861,510,4.6296207,6.740841428,13.61674742,16.76130307
34246f3ed66a,block:FX,block,1516114800,1055718000,0.7096900861,510,4.619453578,6.727187036,13.62113117,16.78385792
34246f3ed66a,block:FX,block,1518642000,1055718000,0.7096900861,510,4.626448096,6.733282839,13.58962346,16.72345555
34246f3ed66a,block:FX,block,1521165600,1055718000,0.7096900861,510,4.621120229,6.722840816,13.5612762,16.68649992
34246f3ed66a,block:FX,block,1523865600,1055718000,0.7096900861,510,4.614666817,6.713029431,13.55015546,16.67801816
34246f3ed66a,block:FX,block,1526392800,1055718000,0.7096900861,510,4.602697289,6.698224226,13.57520428,16.73790923
34246f3ed66a,block:FX,block,1528920000,1055718000,0.7096900861,510,4.593783274,6.685275597,13.56543415,16.73515574
34246f3ed66a,block:FX,block,1531447200,1055718000,0.7096900861,510,4.590665525,6.676081919,13.50035632,16.63224209
34246f3ed66a,block:FX,block,1534147200,1055718000,0.7096900861,510,4.585623259,6.66600751,13.48310374,16.61483099
34246f3ed66a,block:FX,block,1536674400,1055718000,0.7096900861,510,4.581334075,6.655861762,13.44487249,16.56069881
34246f3ed66a,block:FX,block,1539201600,1055718000,0.7096900861,510,4.574551518,6.64602079,13.44230391,16.56730707
34246f3ed66a,block:FX,block,1541732400,1055718000,0.7096900861,510,4.573775457,6.640482334,13.38840974,16.480166
34246f3ed66a,block:FX,block,1544432400,1055718000,0.7096900861,510,4.575502143,6.638988368,13.35300844,16.42136961
34246f3ed66a,block:FX,block,1547197200,1055718000,0.7096900861,510,4.575923896,6.635009803,13.3129842,16.35758291
34246f3ed66a,block:FX,block,1549897200,1055718000,0.7096900861,510,4.581796079,6.654490144,13.37977856,16.44701672
34246f3ed66a,block:FX,block,1552420800,1055718000,0.7096900861,510,4.577872728,6.644289713,13.3342791,16.38041206
34246f3ed66a,block:FX,block,1554948000,1055718000,0.7096900861,510,4.582576228,6.674133843,13.51609809,16.65529096
34246f3ed66a,block:FX,block,1557475200,1055718000,0.7096900861,510,4.580935613,6.670690423,13.49816406,16.62781367
34246f3ed66a,block:FX,block,1560175200,1055718000,0.7096900861,510,4.578011199,6.670041716,13.52495678,16.6739416
34246f3ed66a,block:FX,block,1562702400,1055718000,0.7096900861,510,4.584554039,6.671768726,13.45603528,16.55416106
34246f3ed66a,block:FX,block,1565229600,1055718000,0.7096900861,510,4.58067529,6.683797808,13.64593877,16.86828319
34246f3ed66a,block:FX,block,1567756800,1055718000,0.7096900861,510,4.578060808,6.679852743,13.63900325,16.86044331
34246f3ed66a,block:FX,block,1570456800,1055718000,0.7096900861,510,4.574002378,6.672930497,13.63845721,16.86823711
34246f3ed66a,block:FX,block,1572987600,1055718000,0.7096900861,510,4.568558246,6.663763281,13.62212563,16.85034729
34246f3ed66a,block:FX,block,1575514800,1055718000,0.7096900861,510,4.565662237,6.656469738,13.57796978,16.78154694
34246f3ed66a,block:FX,block,1578459600,1055718000,0.7096900861,510,4.562361479,6.653524245,13.58625482,16.79844376
34246f3ed66a,block:FX,block,1580986800,1055718000,0.7096900861,510,4.556190092,6.643613176,13.55899007,16.76145732
